Need (Desk),Label,Need (vacuum),Label
Place for putting bags,part_1_desk_needs_exp,A vacuum cleaner with a more manageable power cord,part_1_vacuum_needs_exp
Not bothering other colleages,part_1_desk_needs_exp,A mechanism to pick up all loose items/furniture from the floor before vacuuming,part_1_vacuum_needs_exp
Lifting monitor comfortably,part_1_desk_needs_exp,A clearcut map of where to vacuum,part_1_vacuum_needs_exp
Untangling cords from itself,part_1_desk_needs_exp,A place to store all the objects the user picks up from the floor,part_1_vacuum_needs_exp
Untangling cords from other equipments,part_1_desk_needs_exp,A sightly place to store the vacuum cleaner when done vacuuming,part_1_vacuum_needs_exp
Routing cords around tables,part_1_desk_needs_exp,A vacuum that has a distinct mode for hard floor surfaces,part_1_vacuum_needs_exp
Findingwhere to plug in the cords,part_1_desk_needs_exp,Special shoes that don't dirty the floor as you vacuum the floor,part_1_vacuum_needs_exp
Possible backache?,part_1_desk_needs_exp,A hair elastic so hair doesn't get in the way while vacuuming,part_1_vacuum_needs_exp
Setting up a workspace to get to work comfortably as soon as possible,part_1_desk_needs_exp,Can move product around while using,part_1_vacuum_needs_exp
Learn how to operate the monitor,part_1_desk_needs_exp,Intuitive to understand and use,part_1_vacuum_needs_exp
Get an extra screen space to work effectively,part_1_desk_needs_exp,Can adjust the product to fit what user intends to do,part_1_vacuum_needs_exp
"Sitting in a comfortable position, ergonomically comfortable",part_1_desk_needs_exp,Flexible (can fit in tight spaces),part_1_vacuum_needs_exp
Trying to get the screen to work wihtouthassle,part_1_desk_needs_exp,Cleans small objects,part_1_vacuum_needs_exp
Setting up an office desk to get comfortable with their new workspace,part_1_desk_needs_exp,Has place to wrap wires,part_1_vacuum_needs_exp
Unpacking items to set up workspace quickly,part_1_desk_needs_exp,Can be stored easily in tight spaces,part_1_vacuum_needs_exp
Efficient packing of equipments from home/old workplace to the current one,part_1_desk_needs_exp,Can stand on its own,part_1_vacuum_needs_exp
Getting used to the new space physical & emotionally,part_1_desk_needs_exp,Seems not too heavy to carry around;,part_1_vacuum_needs_exp
Get everything to work together seamlessly without too much hassle,part_1_desk_needs_exp,retracting cord reel,part_1_vacuum_needs_exp
Getting desk clean vs making it easy to connect things together,part_1_desk_needs_exp,"battery powered and corded, i.e. they can plug it in to charge it and use it at the same time, or they can disconnect the plug from the wall and use it battery powered",part_1_vacuum_needs_exp
Needs for organization & tidiness of their equipments and documents,part_1_desk_needs_exp,removable bin to store small things you pick up off the floor that you can't vacuum up,part_1_vacuum_needs_exp
Potential needs for a larger workspace to accommodate when multiple physical documents are being used at once,part_1_desk_needs_exp,the vacuum head can articulate better for sharp corners or when working under tables/tight spaces;,part_1_vacuum_needs_exp
Getting comfortable with new colleagues,part_1_desk_needs_exp,easier chord management system,part_1_vacuum_needs_exp
Taking care of existing items that might needs to be moved away to accommodate their workspace (e.g. the blue buckets);,part_1_desk_needs_exp,wireless vacuum,part_1_vacuum_needs_exp
to find places to set up equipment,part_1_desk_needs_exp,basket attachment to place larger items instead of carrying them by hand,part_1_vacuum_needs_exp
help finding right buttons for their use,part_1_desk_needs_exp,Easier access to electrical outlet,part_1_vacuum_needs_exp
help setting up display on monitor,part_1_desk_needs_exp,More agile vacuum for better maneuverability in tighter turns;,part_1_vacuum_needs_exp
"display, keyboard, laptop, and pc for their work",part_1_desk_needs_exp,Wire on the vacuum is difficult to unravel,part_1_vacuum_needs_exp
"stack of books, and pens by their side",part_1_desk_needs_exp,"Vacuum angle is locked in position at the start, must use foot to unlock",part_1_vacuum_needs_exp
to make better use of desk space;,part_1_desk_needs_exp,Have to bend down to clean larger objects like socks,part_1_vacuum_needs_exp
an ergonomic computer workstation,part_1_desk_needs_exp,"Vacuum does not turn super easily, user has to drag it in the direction they desire at certain points",part_1_vacuum_needs_exp
a PC that can be used independently,part_1_desk_needs_exp,Wire gets in the way during vacuuming,part_1_vacuum_needs_exp
to use the monitor as a second screen for an external laptop,part_1_desk_needs_exp,"Wire on the vacuum is difficult to wrap back up, because it is very long and must bend down to wrap it up",part_1_vacuum_needs_exp
The workstation should have accessible outlets and cable ports for all components,part_1_desk_needs_exp,Vacuum head flops down during vacuuming when the vacuum gets picked up,part_1_vacuum_needs_exp
All equipment necessary should be easy for the user to move and set up,part_1_desk_needs_exp,"Nowhere to lock in the wire at the top of the vacuum, the use just flops the wire over the top of the vacuum handle",part_1_vacuum_needs_exp
cable organization,part_1_desk_needs_exp,"The vacuum does not stand on its own, the user has to prop / hold it up while wrapping the wire",part_1_vacuum_needs_exp
easily accessible electrical outlets,part_1_desk_needs_exp,Vacuum handle doesn't seem to give the user the best control on the vaccuum's direction;,part_1_vacuum_needs_exp
lifting support to pick up items on floor,part_1_desk_needs_exp,Help with holding up the vacuum on their own,part_1_vacuum_needs_exp
table-level electrical outlet,part_1_desk_needs_exp,untangling the cord,part_1_vacuum_needs_exp
backpack storage,part_1_desk_needs_exp,removing items off the ground,part_1_vacuum_needs_exp
laptop dock,part_1_desk_needs_exp,somewhere to place the items picked up off the ground,part_1_vacuum_needs_exp
laptop stand,part_1_desk_needs_exp,tracking where the vacuum has already gone (repeating spots often),part_1_vacuum_needs_exp
mouse,part_1_desk_needs_exp,moving the cord out of the way,part_1_vacuum_needs_exp
ergonomic keyboard,part_1_desk_needs_exp,putting the cord back without tangling,part_1_vacuum_needs_exp
usb cable hub,part_1_desk_needs_exp,stabilize the vacuum while putting cord away,part_1_vacuum_needs_exp
chair mat to protect floor,part_1_desk_needs_exp,placing the end of the vacuum cord somewhere more obvious/convenience,part_1_vacuum_needs_exp
monitor stand,part_1_desk_needs_exp,easier reach under desks/into harder to reach spaces,part_1_vacuum_needs_exp
separate bookshelf,part_1_desk_needs_exp,easier mobility of the vacuum head,part_1_vacuum_needs_exp
monitor,part_1_desk_needs_exp,less need to pick the entire vacuum head up off the floor,part_1_vacuum_needs_exp
paper,part_1_desk_needs_exp,Tool that cleans the floor,part_1_vacuum_needs_exp
books,part_1_desk_needs_exp,Pick up stuff that is in the way of the tool cleaning the floor,part_1_vacuum_needs_exp
writing utensils,part_1_desk_needs_exp,A way to use the vacuum without tripping over the cord,part_1_vacuum_needs_exp
accessible ports on computer;,part_1_desk_needs_exp,More efficient way to unwrap and rewrap the cord on the vacuum,part_1_vacuum_needs_exp
An extension cable for power supply,part_1_desk_needs_exp,Avoid getting tangled with the cord,part_1_vacuum_needs_exp
A better cabinet to stack books,part_1_desk_needs_exp,Storage for the vacuum,part_1_vacuum_needs_exp
Maybe a desk organizer,part_1_desk_needs_exp,A place to put the trash that was on the floor,part_1_vacuum_needs_exp
A keyboard and a mouse,part_1_desk_needs_exp,How to know which parts of the floor need cleaning and which don't/how to know when the task is done,part_1_vacuum_needs_exp
Possible a connector to connect the HDMI cable to the monitor with the USB ports for keyboard and mouse,part_1_desk_needs_exp,Would this method of cleaning the floor be accessible to everyone? Bending down to pick large items up or to deal with the vacuum cord is physically restrictive,part_1_vacuum_needs_exp
Some way to organize the cables,part_1_desk_needs_exp,Outlet placement compared to the size of the room,part_1_vacuum_needs_exp
"A desk that could possible rise, because the user seems to like to stand and do tasks",part_1_desk_needs_exp,Large furniture acting as a physical barrier - can it be moved to make the task easier?,part_1_vacuum_needs_exp
A bigger desk to organize well or some shelf space,part_1_desk_needs_exp,Was the vacuum the best tool for the users need of cleaning?,part_1_vacuum_needs_exp
"Some sticky notes maybe because the user likes to use them, or even a calendar/ task organizer;",part_1_desk_needs_exp,"a way to vacuum space with different obstacles, such as furniture, objects on the ground, and room corners",part_1_vacuum_needs_control
"cable management - many cables, hard to find where to connect and make it comfortable",part_1_desk_needs_exp,Power source to plug vacuum cord into,part_1_vacuum_needs_control
not enough space on desk,part_1_desk_needs_exp,to maneuver vacuum head efficiently around obstacles,part_1_vacuum_needs_control
things are put on desk unorganized,part_1_desk_needs_exp,Way to efficiently organize and wrap vacuum cord,part_1_vacuum_needs_control
"he does not connect all the cables at the beginning, one left to the end when the desk is crowded;",part_1_desk_needs_exp,A way to support or let vacuum free stand without human interaction,part_1_vacuum_needs_control
Modularity in working space,part_1_desk_needs_exp,Cord organization so user does not have to navigate around cord or pick up cord while using the vacuum,part_1_vacuum_needs_control
"Quick connections between monitor, laptop, etc.",part_1_desk_needs_exp,to pick up objects along the way,part_1_vacuum_needs_control
Easily accessible method for turning on monitor,part_1_desk_needs_exp,"Storage space for vacuum such that it can be kept in a stable, upright position;",part_1_vacuum_needs_control
Ability to work on large screen,part_1_desk_needs_exp,Better storage system of chord,part_1_vacuum_needs_control
"Space to store monitor, books, etc. when not at desk",part_1_desk_needs_exp,Chord requires too much up/down movement to unravel,part_1_vacuum_needs_control
Access to power outlets for short cords,part_1_desk_needs_exp,Bottom of vacuum should be easier to put flush against ground,part_1_vacuum_needs_control
"Access to common office items (stapler, etc.)",part_1_desk_needs_exp,some better way of making sure chord doesn't interfere with vacuum,part_1_vacuum_needs_control
Chair (and other furniture) that can be removed to access desk for set up,part_1_desk_needs_exp,a way to move objects on ground rather than picking them up to save effort,part_1_vacuum_needs_control
"Modular items for desk personalization (such as books, photos, etc.)",part_1_desk_needs_exp,"a way to be able to move obstructions other than small items on ground (table, boxes)",part_1_vacuum_needs_control
"Working space large enough for monitors, books, personal items, etc.;",part_1_desk_needs_exp,"Too much overall rising and sinking that may put too much stress on lower back, so chord needs to be able to be wrapped faster and perhaps from a set y-height",part_1_vacuum_needs_control
desktop cable organization,part_1_desk_needs_exp,a place to put lose items that have been collected,part_1_vacuum_needs_control
simplified desktop monitor/computer setup,part_1_desk_needs_exp,"The vacuum is very heavy at the top, making it harder to keep it stationary when unraveling or raveling the chords",part_1_vacuum_needs_control
ergonomic neck/back alignment during computer use,part_1_desk_needs_exp,"a cleaner workspace, as the vacuuming could have been simplified much more",part_1_vacuum_needs_control
easy access behind desk for faster computer station setup,part_1_desk_needs_exp,storage such as shelves to keep items off the floor,part_1_vacuum_needs_control
access to multiple power outlets near desk,part_1_desk_needs_exp,storage that is more geometrically fitting to the sides of the room to make the task of vacuuming easier,part_1_vacuum_needs_control
easier way to manipulate/connect monitor cables,part_1_desk_needs_control,"Working with the chord took a large majority of the time spent vacuuming. If time is important to the user, the user may need a different type of chord that takes less time to manage.;",part_1_vacuum_needs_control
way to figure out which cables go where,part_1_desk_needs_control,Clean a space efficiently,part_1_vacuum_needs_control
easier way to find power button on monitor/how to turn it on,part_1_desk_needs_control,Access hard-to-reach spaces,part_1_vacuum_needs_control
better/more stable way to store books,part_1_desk_needs_control,Maneuverable,part_1_vacuum_needs_control
"better way to organize cables (so they don't get tangled on desk), no space to move mouse, etc.",part_1_desk_needs_control,Move potential larger blockages on the floor out of the way,part_1_vacuum_needs_control
better way to store things on desk in order to promote ease of long-term organization;,part_1_desk_needs_control,Access to the entire room,part_1_vacuum_needs_control
a keyboard as they seem to work a lot with online media,part_1_desk_needs_control,Low startup and shutdown complexity,part_1_vacuum_needs_control
a monitor to access a slide deck for some class or project,part_1_desk_needs_control,Easy to store,part_1_vacuum_needs_control
a laptop to access this digital media,part_1_desk_needs_control,Intuitive controls,part_1_vacuum_needs_control
the books they place in the book organizer to access this material.,part_1_desk_needs_control,Presumably minimize noise,part_1_vacuum_needs_control
a mouse to navigate digital media,part_1_desk_needs_control,Single-handed operation,part_1_vacuum_needs_control
a lot of time to set up all these materials and additional assistance may be needed.,part_1_desk_needs_control,Continuous operation for extended periods of time,part_1_vacuum_needs_control
They may have more items on the desk than necessary to fulfill a task and may need less.,part_1_desk_needs_control,Non-marking or damaging to the surface,part_1_vacuum_needs_control
Place to put bag,part_1_desk_needs_control,Lightweight;,part_1_vacuum_needs_control
Finding on button for monitor,part_1_desk_needs_control,Stable storage (ie does not tip or roll),part_1_vacuum_needs_control
Place for CPU,part_1_desk_needs_control,easily manageable cord,part_1_vacuum_needs_control
Two monitors,part_1_desk_needs_control,ergonomic cord storage (ie not uncomfortable to plug in cord or return to storage),part_1_vacuum_needs_control
Place for books,part_1_desk_needs_control,long cord reach/reach from power source if stationary,part_1_vacuum_needs_control
Water,part_1_desk_needs_control,easily maeurverable by hand,part_1_vacuum_needs_control
Pens,part_1_desk_needs_control,easy to conform path by hand around variable sized and shaped obstacles,part_1_vacuum_needs_control
Easy connections,part_1_desk_needs_control,ability to cover large area efficiently,part_1_vacuum_needs_control
Finding ports;,part_1_desk_needs_control,cord stays out of way of vacuum and user,part_1_vacuum_needs_control
power cord organization (untangling and unraveling cord),part_1_desk_needs_control,ability to see where you have vacuumed,part_1_vacuum_needs_control
monitor transportation onto desk (leaned down to pick it up off box and move it),part_1_desk_needs_control,vacuum in corners and along edges,part_1_vacuum_needs_control
"box transportation under desk (leaned down to pick it up off floor and move it under desk, discomfort?)",part_1_desk_needs_control,quickly store cord after use,part_1_vacuum_needs_control
line of sight of behind the monitor and box (for plugging in cords/finding power source? user has to stand and look behind monitor and also squat and look under desk),part_1_desk_needs_control,easy to lift up and reposition,part_1_vacuum_needs_control
"easier knowledge or where power button is for the monitor (putting hands on monitor, presumably to find power switch)",part_1_desk_needs_control,lightweight,part_1_vacuum_needs_control
access to under the desk (had to move the chair),part_1_desk_needs_control,user does not have to bend down during use,part_1_vacuum_needs_control
unboxing/placing and organizing items onto desk (is this a regular activity?),part_1_desk_needs_control,can reach under common furniture items,part_1_vacuum_needs_control
book organization (is this adequate placement on the desk?),part_1_desk_needs_control,large range of motion from given user position (ie user can vacuum large area without moving),part_1_vacuum_needs_control
easier access to box contents (lots of bending up and down to retrieve contents),part_1_desk_needs_control,does not damage walls or furniture on contact;,part_1_vacuum_needs_control
cord organization (cords quickly all over desk),part_1_desk_needs_control,to be able to clean objects off the floor,part_1_vacuum_needs_control
"backpack storage (leaning on side, might be ok sitting there?)",part_1_desk_needs_control,The product should be able to maneuver easily around and below furniture and objects on the floor,part_1_vacuum_needs_control
chair storage/organization (has to push chair back to unpack and organize desk);,part_1_desk_needs_control,to pick up baseball sized objects off the floor,part_1_vacuum_needs_control
Unpack following items from carton.,part_1_desk_needs_control,to be able to reach all locations on the floor,part_1_vacuum_needs_control
Connect the display screen to power outlet.,part_1_desk_needs_control,to be able to clean the floor while mostly standing,part_1_vacuum_needs_control
Connect the CPU to power and display screen.,part_1_desk_needs_control,more convenient methods for storing and setting up the device,part_1_vacuum_needs_control
Find and switch on the display screen.,part_1_desk_needs_control,a method for powering the vacuum cleaner or cleaning device,part_1_vacuum_needs_control
Connect laptop/keyboard to display screen.,part_1_desk_needs_control,to have the cleaning device take up as little space as possible when stored,part_1_vacuum_needs_control
"Organize desk with file tray, bookends, books, water bottle, stapler, pen holder",part_1_desk_needs_control,to have the device effectively maintain contact with the ground/ have continuous cleaning capabilities while in use,part_1_vacuum_needs_control
Make space on desk and connect mouse to display screen.,part_1_desk_needs_control,to be able to control the movement of the device,part_1_vacuum_needs_control
Backpack holder,part_1_desk_needs_control,to be able to easily adjust and fix the cleaning device,part_1_vacuum_needs_control
Cable management,part_1_desk_needs_control,to be able to clean all locations on the floor without tripping hazards or major obstructions,part_1_vacuum_needs_control
Lift heavy objects,part_1_desk_needs_control,to be able to see the progress of cleaning;,part_1_vacuum_needs_control
Reach low/close to the ground,part_1_desk_needs_control,Struggled with cable unwrapping,part_1_vacuum_needs_control
Reach under desk,part_1_desk_needs_control,Struggled to balance the vacuum cleaner upright when not held,part_1_vacuum_needs_control
Ease of turning on devices,part_1_desk_needs_control,Confused by dropping the vacuum foot,part_1_vacuum_needs_control
Organization of textbooks,part_1_desk_needs_control,Held onto larger items on the floor that blocked the vacuum cleaner,part_1_vacuum_needs_control
Hold books so they are easy to see,part_1_desk_needs_control,Looped back over the excess cable on the floor,part_1_vacuum_needs_control
Enough desk space to hold all necessary office supplies,part_1_desk_needs_control,Cable caught on the wheels,part_1_vacuum_needs_control
Easy to reach power outlet,part_1_desk_needs_control,Struggled to rewrap the cable,part_1_vacuum_needs_control
Adjustable desk for best ergonomics,part_1_desk_needs_control,Unsure how to secure the end of the cable,part_1_vacuum_needs_control
Adjustable chair for best ergonomics,part_1_desk_needs_control,"Potential mobility/dexterity difficulties, or just unfamiliarity with vacuum cleaners",part_1_vacuum_needs_control
Connection between devices should be fast,part_1_desk_needs_control,Easier way to unwrap and rewrap the vacuum cord,part_1_vacuum_needs_control
A mouse?,part_1_desk_needs_control,Somewhere to place the different objects that she is picking up off the floor,part_1_vacuum_needs_control
Have water close by,part_1_desk_needs_control,some way to make sure the cord does not get tangled as she is moving around,part_1_vacuum_needs_control
Have writing materials close by;,part_1_desk_needs_control,some way to keep the vacuum stable while she is wrapping the cord around,part_1_vacuum_needs_control
Having a clear space to navigate moving things around,part_2_desk_needs_exp,something to keep the cord from getting caught when she is vacuuming and moving back/forth,part_1_vacuum_needs_control
Not having to crouch in an uncomfortable position to manage the cables,part_2_desk_needs_exp,"someway to store the cord that is just excess while moving around the vacuum, something retractable?",part_1_vacuum_needs_control
Having support to lift heavy objects e.g. computer case?,part_2_desk_needs_exp,something to make more space when wrapping up the cord so that it is easier to get it all on the hooks and not have it keep falling off;,part_1_vacuum_needs_control
Space to not have things block other things (the ad-hoc bookshelf is in the way of the document tray -- this could make document retrieval tricky later);,part_2_desk_needs_exp,A more ergonomic vacuum handle/overall design,part_2_vacuum_needs_exp
more space on desk,part_2_desk_needs_exp,A less cluttered room to vacuum;,part_2_vacuum_needs_exp
"better placement of stuff around desk, such as bag",part_2_desk_needs_exp,Should be able to use without moving around too much,part_2_vacuum_needs_exp
to place monitor on a bette position on the desk to avoid strain,part_2_desk_needs_exp,Should be able to pick up slightly larger objects,part_2_vacuum_needs_exp
to place box somewhere else to avoid strain while carrying objects,part_2_desk_needs_exp,Has to fit in tight spaces while in use,part_2_vacuum_needs_exp
a chair that is better ergonomically for his posture,part_2_desk_needs_exp,Should not get tangled with wires when in use,part_2_vacuum_needs_exp
"a better distributed working space, including the desk and mini island adjacent to it",part_2_desk_needs_exp,Should be able to turn on easily,part_2_vacuum_needs_exp
to limit equipment brought or utilize equipment more efficiently;,part_2_desk_needs_exp,Easy to move around;,part_2_vacuum_needs_exp
A clear floor around the workstation,part_2_desk_needs_exp,"low tension continuous retracting cord reel which is optimized across the complete cord length, i.e. in problem point 8 her hands are full and she needs to manage the cable - if it continuously managed tension to prevent too much cable from being let out, while letting the user complete retract the cable at the end with a higher tension reel, this problem would be addressed;",part_2_vacuum_needs_exp
Long cables accessible in a neutral sitting or standing position,part_2_desk_needs_exp,The table near the outlet needs to be removed,part_2_vacuum_needs_exp
"A wide desk that can accommodate both the computer set-up and any necessary writing, reading, etc.",part_2_desk_needs_exp,The large box by the door needs to be removed to vacuum that space;,part_2_vacuum_needs_exp
Storage for up to a dozen books that doesn't impede computer use,part_2_desk_needs_exp,Have to bend down to plug in,part_2_vacuum_needs_exp
Writing utensil storage accessible in a neutral sitting or standing position without leaning,part_2_desk_needs_exp,Vacuum seems somewhat heavy when picked up to move across obstacles like the wire,part_2_vacuum_needs_exp
Ergonomic mousepad,part_2_desk_needs_exp,"There are lots of larger objects in the way during vacuuming, like bins and boxes",part_2_vacuum_needs_exp
Laptop stand that raises screen to eye-level,part_2_desk_needs_exp,Bottom of the vacuum will slide while the user tries to wrap the wire up,part_2_vacuum_needs_exp
Adjustable monitor stand;,part_2_desk_needs_exp,Vacuum is not very secure resting on the edge of the table;,part_2_vacuum_needs_exp
There are many unused objects that are in the way for the task,part_2_desk_needs_exp,more securely balancing vacuum instead of balancing on a table,part_2_vacuum_needs_exp
Something to make sure user doesn't hit his head,part_2_desk_needs_exp,help moving large items off the floor to vacuum under them,part_2_vacuum_needs_exp
Some space between the users desk and the other monitor,part_2_desk_needs_exp,help activating the Roomba instead (if that's what's near the Elmers box),part_2_vacuum_needs_exp
A maid robot to do the task for the user;,part_2_desk_needs_exp,more desk space to place socks picked up off the ground,part_2_vacuum_needs_exp
has to bend down to lift things - would be useful if the items were already in the desk height,part_2_desk_needs_exp,easier way to plug vacuum into the wall,part_2_vacuum_needs_exp
has to go under the desk to connect the cables to power - uncomfortable and risk of injury,part_2_desk_needs_exp,"generally not having to support the vacuum when it is not in use (some way to ""park"" it);",part_2_vacuum_needs_exp
"monitor buttons and control are on the back side, hard to reach and find",part_2_desk_needs_exp,Storage space is very crowded making it hard for the user to access the outlet and the vacuum,part_2_vacuum_needs_exp
"there is no place for the user to place his backpack, so he puts it on the floor and it gets in the way sometimes",part_2_desk_needs_exp,Every time the user has to bend down to wind the cord or pick something up it is ergonomically bad,part_2_vacuum_needs_exp
"the chair gets in the way, the user has to move it back and forth multiple times",part_2_desk_needs_exp,The room is very cluttered making it difficult for the user to navigate the space,part_2_vacuum_needs_exp
"there is no designated place for the computer, he needs to look and decide where to put it",part_2_desk_needs_exp,What is the user supposed to do with the socks? Difficult to multitask - hold the socks while vacuuming or while trying to put the vacuum away,part_2_vacuum_needs_exp
the computer under the desk does not leave enough space for the user ti sit comfortably;,part_2_desk_needs_exp,Restrictive to try to pick up the socks while also vacuuming - the user's body had a hard time navigating around the vacuum to perform the task of picking up the socks;,part_2_vacuum_needs_exp
Easy movement of large objects such as computer tower,part_2_desk_needs_exp,Cord organization method while user is vacuuming so it does not become tangled or become another obstacle,part_2_vacuum_needs_control
"Ergonomically-friendly storage of items (books, monitor, etc.) that avoids need to bend down;",part_2_desk_needs_exp,"Tracking method for remembering which places have been vacuumed / need to be vacuumed again, versus places that are already clean",part_2_vacuum_needs_control
desk with built in outlets / slots for cable organization,part_2_desk_needs_exp,"User has to kneel in a non-ergonomic position to wrap vacuum cord, a better cord placement / storage system would be ideal",part_2_vacuum_needs_control
ergonomic office chair,part_2_desk_needs_exp,Smaller / more agile vacuum head to reach tight spaces,part_2_vacuum_needs_control
easily moveable desktop computer,part_2_desk_needs_exp,Flexible vacuum stem so user can vacuum under low desks or gaps with no obstructions,part_2_vacuum_needs_control
monitor with front buttons;,part_2_desk_needs_exp,Cord untangling method after vacuuming and after the cord has traveled along the space with the user,part_2_vacuum_needs_control
to find good screen setup (i.e. monitor and laptop placement),part_2_desk_needs_control,Place to clip the plug or the end of the coord so it does not become easily unravelled through the vacuum's storage;,part_2_vacuum_needs_control
easier way to access monitor outlets;,part_2_desk_needs_control,a better storage system for vacuum,part_2_vacuum_needs_control
access to the internet to be able to see the slide deck,part_2_desk_needs_control,Looks like it can easily fall based on the mass distribution within the vacuum,part_2_vacuum_needs_control
access to electricity,part_2_desk_needs_control,a way to not step on the wire,part_2_vacuum_needs_control
a chair to work,part_2_desk_needs_control,"The vacuum itself looks heavy, it may be in their best interests to use a lighter one",part_2_vacuum_needs_control
books and desk organizers to be organized,part_2_desk_needs_control,"May need a light to illuminate dark spaces when vacuuming, such as under the table or behind a desk",part_2_vacuum_needs_control
a desk to hold the items listed above,part_2_desk_needs_control,a way to keep the vacuum upright and standing on its own when wrapping the chord,part_2_vacuum_needs_control
a stapler and pencils if they need to work with written material,part_2_desk_needs_control,a less uncomfortable design- one that is more of an extension of her arm- it looks extremely difficult and bulky to move around,part_2_vacuum_needs_control
a pencil cup to keep pencils in one place,part_2_desk_needs_control,a design that doesn't force her to bend her back as much,part_2_vacuum_needs_control
glasses to see,part_2_desk_needs_control,"The bottom of the vacuum slides around too much when she wants it to be stationary, but it also needs to be able to slide while in use-- needs to find a balance or mode to switch in between to allow for both types of functioning at certain times",part_2_vacuum_needs_control
a water bottle to stay hydrated throughout the day,part_2_desk_needs_control,"a way so that when she is vacuuming, she doesn't have to drive the vacuum back into her body, as that gives her a small range of motion",part_2_vacuum_needs_control
a usb adapter for his mouse,part_2_desk_needs_control,to mesh better with her body and overall be more light,part_2_vacuum_needs_control
help with the wiring if it is too messy;,part_2_desk_needs_control,"Could be shorter and more compact, that might allow for more ease of movement",part_2_vacuum_needs_control
Easy untangling of cables,part_2_desk_needs_control,Or may need an height-adjustable vacuum instead for ease of movement;,part_2_vacuum_needs_control
Through holes for cables,part_2_desk_needs_control,Powerful vacuum,part_2_vacuum_needs_control
Connecting without having to go under table,part_2_desk_needs_control,Multiple cleaning functions,part_2_vacuum_needs_control
Way to structure monitors,part_2_desk_needs_control,Height adjustability,part_2_vacuum_needs_control
Best order to assemble desk;,part_2_desk_needs_control,"Device robustness to impact, both of the brush head and the pylon",part_2_vacuum_needs_control
initial cord organization (user had to readjust lifting the monitor because it looked like a cord got stuck),part_2_desk_needs_control,Device stability while free standing,part_2_vacuum_needs_control
easier connections for power and data,part_2_desk_needs_control,Easy to empty out the collection bin and reassemble,part_2_vacuum_needs_control
book organization (possibly to see all titles better than the horizontal orientation),part_2_desk_needs_control,Ability to clean multiple surfaces,part_2_vacuum_needs_control
"more desk space (desk quickly filled up with monitor, laptop, books)",part_2_desk_needs_control,Way to help the user identify dirty parts of the surface,part_2_vacuum_needs_control
communication with others (seemed to get help from someone off screen),part_2_desk_needs_control,Clog detection/warning;,part_2_vacuum_needs_control
monitor placement (moved computer to the side);,part_2_desk_needs_control,height of components that user must interact with physically are comfortable,part_2_vacuum_needs_control
Longer power and connector cables for display screen.,part_2_desk_needs_control,slides/rolls easily (ie without a lot of user effort) on different flooring surfaces,part_2_vacuum_needs_control
Easier access to space beneath the desk for placing CPU.,part_2_desk_needs_control,large capacity/ability to vacuum large space at once,part_2_vacuum_needs_control
Easier identification of power switch on display screen.,part_2_desk_needs_control,cord does not tangle,part_2_vacuum_needs_control
Wider/larger desk space.,part_2_desk_needs_control,cord can be easily secured at its end,part_2_vacuum_needs_control
Upfront instructions to set up desk space. Eg. User placed books on file tray and later moved some of them to bookends.;,part_2_desk_needs_control,as many functions as possible can be engaged by user while in standing position,part_2_vacuum_needs_control
Enough space under the desk for trash can and computer and legs,part_2_desk_needs_control,compact storage,part_2_vacuum_needs_control
A chair/device that can help with grabbing things near the ground or being in a crouching position,part_2_desk_needs_control,cord does not collect dirt/dust during use,part_2_vacuum_needs_control
The office materials could be kept closer to the height of the desk so that he can easily reach them,part_2_desk_needs_control,cord is secure as stored and does not come undone;,part_2_vacuum_needs_control
Stationary organizer,part_2_desk_needs_control,to be able to start cleaning relatively quickly,part_2_vacuum_needs_control
Drawers,part_2_desk_needs_control,to be able to clean larger areas for relatively less movement with their own body,part_2_vacuum_needs_control
Bookshelf,part_2_desk_needs_control,a way to store the dirt and mess that they clean away from the floor,part_2_vacuum_needs_control
A connecting hub where all the mouse/headphones/keyboard would all connect to,part_2_desk_needs_control,to clean with relatively little bending over.,part_2_vacuum_needs_control
Food storage for perishables,part_2_desk_needs_control,to differentially pick/clean waste that should not be thrown away and waste like dirt that needs to be thrown away at the end of cleaning,part_2_vacuum_needs_control
First aid kit;,part_2_desk_needs_control,to stand/sit in a comfortable position while cleaning,part_2_vacuum_needs_control
,,to be able to clean with relatively little torque on their wrist (i.e. not get into a wrist lock),part_2_vacuum_needs_control
,,ideally will only need to use 1 hand in order to clean the floor,part_2_vacuum_needs_control
,,to clean the floor in as little time as possible;,part_2_vacuum_needs_control
,,Unwrapped the entire cable from the start,part_2_vacuum_needs_control
,,Kept the trigger held even when lifting the suction end over the cable;,part_2_vacuum_needs_control
,,needs someone to help her move the furniture around so she can adequately clean the space,part_2_vacuum_needs_control
,,needs the head of the vacuum to be heavier as to not have it shift around so much and stay on the ground;,part_2_vacuum_needs_control